Sort,Data filename,Start,End,Runtime (s),cpu_clk_unhalted.thread_any,cpu_clk_unhalted.thread_any:k,cpu_clk_unhalted.thread_any:u,cs,cs:k,cs:u,dtlb_load_misses.miss_causes_a_walk,dtlb_load_misses.miss_causes_a_walk:k,dtlb_load_misses.miss_causes_a_walk:u,dtlb_load_misses.walk_active,dtlb_load_misses.walk_active:k,dtlb_load_misses.walk_active:u,dtlb_store_misses.miss_causes_a_walk,dtlb_store_misses.miss_causes_a_walk:k,dtlb_store_misses.miss_causes_a_walk:u,dtlb_store_misses.walk_active,dtlb_store_misses.walk_active:k,dtlb_store_misses.walk_active:u,faults,faults:k,faults:u,inst_retired.any,inst_retired.any:k,inst_retired.any:u,migrations,migrations:k,migrations:u
6,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-19-42-901129945.mmu,0x555617400000,0x555647c00000,6964.974244,6560334332326,1913663778989,4643365652100,15823641,15823641,0,5585954205,1472755628,4107144354,546778894885,67945014760,478180071770,695518627,76129338,617367656,42432320514,4814583296,37621614968,812219,36240,775979,4782653174280,1470927653163,3303313012673,0,0,0
6,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-28-02-16-11-342257903.mmu,0x555617400000,0x555647c00000,7099.018904,6565530954536,1947907676510,4622121574893,15716933,15716933,0,5261682817,1093694469,4163855848,534878812968,58677656719,475499516267,672929392,64690793,605559895,40607229885,4750143434,35854487254,794245,29472,764773,4794693724519,1496869459158,3302613518709,0,0,0
7,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-28-26-643124105.mmu,0x555647c00000,0x555678400000,7212.023704,6579550586845,1887179170566,4699977918476,15703929,15703929,0,5176026334,1053149524,4125503211,558751476359,61921183029,496736273721,683728370,54371340,629195180,42220716733,3363253749,38852859314,885588,28842,856746,4743325096717,1454816405152,3291170250179,0,0,0
7,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-34-06-377418510.mmu,0x555647c00000,0x555678400000,8050.139501,6637996363746,1897480368032,4748096331440,15719519,15719519,0,5288347928,1150499769,4135175620,561109313996,59235078805,500350609637,662516807,55274609,607601606,41144538863,3309524934,37923157067,1703359,49790,1653569,4797478932978,1456772108784,3329797088229,0,0,0
7,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-43-17-334134570.mmu,0x555647c00000,0x555678400000,8428.166542,6618908311834,1999132597704,4627021263010,16171639,16171639,0,5229752108,996345238,4232672311,543172289184,61732143536,480856391488,680236510,59667537,618987105,40329633230,3893254201,36407141141,2249381,115930,2133451,4898150951624,1561538893401,3338925993508,0,0,0
7,/p/multifacet/users/markm/results3/cbmm//exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-30-03-46-33-297969280.mmu,0x555647c00000,0x555678400000,7586.078062,6633332700779,2034424722162,4601287802323,16388859,16388859,0,5894844502,1733401000,4156613855,545889445901,74159490065,471443349323,672760798,59409278,610499499,39520104832,3636378755,35902636929,1269389,32448,1236941,4905417998928,1561036753777,3338461708529,0,0,0
7,/p/multifacet/users/markm/results3/cbmm//exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-30-08-54-28-158400173.mmu,0x555647c00000,0x555678400000,8279.207106,6641078594987,1982911131322,4661387622716,15920904,15920904,0,5278824512,1103363757,4175583668,543822795545,62398844437,480881203006,798714457,163020337,633781765,45464750024,7983734606,37389661693,3182780,88685,3094095,4862473892101,1515861463651,3343773033313,0,0,0
8,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-44-20-965952505.mmu,0x555678400000,0x5556a8c00000,7521.037154,6624552385177,1881601642597,4751610892654,15700872,15700872,0,5088884906,1075777111,4009453561,554347693344,58816857280,494878927857,681371424,75528342,604465775,41370532532,4191521425,37314793638,1639448,76146,1563302,4802664571187,1458774612400,3345458193928,0,0,0
8,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-52-30-931613296.mmu,0x555678400000,0x5556a8c00000,8066.156095,6630195633078,1877110452070,4753564702350,15703617,15703617,0,5121853508,951794209,4166113143,570289688750,57367095708,511983612493,715849603,65852372,647558894,44305719563,4092091277,40219201983,1795005,58799,1736206,4796981151025,1461798461478,3325711185604,0,0,0
8,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-54-05-057204835.mmu,0x555678400000,0x5556a8c00000,7544.066666,6634449059378,2047605637623,4604415502170,15964956,15964956,0,5608604652,1499442656,4115340220,539286310221,66165093905,473918973012,689236420,87433419,603086499,41197995167,5004947939,36263818865,2010989,78386,1932603,4854561017797,1530556628859,3326347880580,0,0,0
